Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
RTR;Red Turban;;;;;;;;;;;;;
RTR_absolute_monarchy;Chinese Empire;;;;;;;;;;;;;
RTR_prussian_constitutionalism;Chinese Empire;;;;;;;;;;;;;
RTR_hms_government;Chinese Empire;;;;;;;;;;;;;
RTR_democracy;Chinese Republic;;;;;;;;;;;;;
RTR_bourgeois_dictatorship;Chinese Republic;;;;;;;;;;;;;
RTR_proletarian_dictatorship;Chinese Soviet Republic;;;;;;;;;;;;;
RTR_fascist_dictatorship;Chinese State;;;;;;;;;;;;;
RTR_presidential_dictatorship;Chinese Republic;;;;;;;;;;;;;
RTR_theocracy;The Red Turbans;;;;;;;;;;;;;
RTR_ADJ;Red Turban;;;;;;;;;;;;;
RTR_conservative;Tiandìhuì;;;;;;;;;;;;;
RTR_liberal;Chee Kung Tong;;;;;;;;;;;;;
RTR_reactionary;Gelaohuì;;;;;;;;;;;;;
RTR_socialist;Zhongguó Nónggong Mínzhudang;;;;;;;;;;;;;
RTR_anarcho_liberal;Sanhehui;;;;;;;;;;;;;
RTR_communist;Zhongguó Gòngchandang;;;;;;;;;;;;;
RTR_fascist;Lìxíng Shè;;;;;;;;;;;;;
MAO;Guizhou;;;;;;;;;;;;;
MAO_absolute_monarchy;Guizhou;;;;;;;;;;;;;
MAO_prussian_constitutionalism;Guizhou;;;;;;;;;;;;;
MAO_hms_government;Guizhou;;;;;;;;;;;;;
MAO_democracy;Guizhou;;;;;;;;;;;;;
MAO_bourgeois_dictatorship;Guizhou;;;;;;;;;;;;;
MAO_proletarian_dictatorship;Qiongya Soviet;;;;;;;;;;;;;
MAO_fascist_dictatorship;Guizhou;;;;;;;;;;;;;
MAO_presidential_dictatorship;Guizhou Clique;;;;;;;;;;;;;
MAO_ADJ;Guizhou;;;;;;;;;;;;;
MAO_conservative;Conservatives;;;;;;;;;;;;;
MAO_liberal;Liberals;;;;;;;;;;;;;
MAO_reactionary;Reactionaries;;;;;;;;;;;;;
MAO_socialist;Socialists;;;;;;;;;;;;;
MAO_anarcho_liberal;Anarcho-liberals;;;;;;;;;;;;;
MAO_communist;Communists;;;;;;;;;;;;;
MAO_fascist;Fascists;;;;;;;;;;;;;
NWO;The United Nations;;;;;;;;;;;;;
NWO_absolute_monarchy;The Universal Monarchy;;;;;;;;;;;;;
NWO_prussian_constitutionalism;The Universal Monarchy;;;;;;;;;;;;;
NWO_hms_government;The Universal Monarchy;;;;;;;;;;;;;
NWO_democracy;The United Nations;;;;;;;;;;;;;
NWO_bourgeois_dictatorship;The (((United Nations)));;;;;;;;;;;;;
NWO_proletarian_dictatorship;Union of Soviet Socialist Republics;;;;;;;;;;;;;
NWO_fascist_dictatorship;Die Neuordnung;;;;;;;;;;;;;
NWO_presidential_dictatorship;The New World Order;;;;;;;;;;;;;
NWO_ADJ;Globalist;;;;;;;;;;;;;
NWO_conservative;Centrist Democrat International;;;;;;;;;;;;;
NWO_conservative_2;International Democrat Union;;;;;;;;;;;;;
NWO_liberal;Liberal International;;;;;;;;;;;;;
NWO_reactionary;The Olympians;;;;;;;;;;;;;
NWO_socialist;Labour and Socialist International;;;;;;;;;;;;;
NWO_anarcho_liberal;World Economic Forum;;;;;;;;;;;;;
NWO_communist;Communist International;;;;;;;;;;;;;
NWO_fascist;World Union of National Socialists;;;;;;;;;;;;;
QNG_conservative;Junjichu;;;;;;;;;;;;;
QNG_conservative_2;Zhiqiang Yundong;;;;;;;;;;;;;
QNG_conservative_3;Qìng Qinwáng Nèigé;;;;;;;;;;;;;
QNG_liberal;Shíxuépài;;;;;;;;;;;;;
QNG_liberal_2;Li Hóngzhang Pài;;;;;;;;;;;;;
QNG_liberal_3;Baohuáng huì;;;;;;;;;;;;;
QNG_reactionary;Tie Màozi Pài;;;;;;;;;;;;;
QNG_reactionary_2;Junzhu Lìxiàn Wéichí Hu;;;;;;;;;;;;;
QNG_anarcho_liberal;Shìjiè shè;;;;;;;;;;;;;
QNG_socialist;Zhongguó Mínzhu Tóngméng;;;;;;;;;;;;;
QNG_communist;Zhongguó Gòngchandang;;;;;;;;;;;;;
QNG_fascist;Kai-tsu P'ai;;;;;;;;;;;;;
TZ0_conservative;Conservatives;;;;;;;;;;;;;
TZ0_liberal;Liberals;;;;;;;;;;;;;
TZ0_reactionary;Reactionaries;;;;;;;;;;;;;
TZ0_socialist;Socialists;;;;;;;;;;;;;
TZ0_anarcho_liberal;Anarcho-liberals;;;;;;;;;;;;;
TZ0_communist;Communists;;;;;;;;;;;;;
TZ0_fascist;Fascists;;;;;;;;;;;;;
TZ1;East Shantung;;;;;;;;;;;;;
TZ1_ADJ;East Shantung;;;;;;;;;;;;;
TZ2;West Shantung;;;;;;;;;;;;;
TZ2_ADJ;West Shantung;;;;;;;;;;;;;
TZ3;North Kiangsu;;;;;;;;;;;;;
TZ3_ADJ;North Kiangsu;;;;;;;;;;;;;
TZ4;Kiangsu;;;;;;;;;;;;;
TZ4_ADJ;Kiangsu;;;;;;;;;;;;;
TZ5;Anhwei;;;;;;;;;;;;;
TZ5_ADJ;Anhwei;;;;;;;;;;;;;
TZ6;Chekiang;;;;;;;;;;;;;
TZ6_ADJ;Chekiang;;;;;;;;;;;;;
TZ7;Kwangtung;;;;;;;;;;;;;
TZ7_ADJ;Kwangtung;;;;;;;;;;;;;
TZ8;Kochow;;;;;;;;;;;;;
TZ8_ADJ;Kochow;;;;;;;;;;;;;
PROV3323;Tangshan;;;;;;;;;;;;;
PROV3324;Santa Clara;;;;;;;;;;;;;
PROV3325;Qiannan;;;;;;;;;;;;;
PROV3326;Qinzhou;;;;;;;;;;;;;
PROV1507;Tongren;;;;;;;;;;;;;
HAZ;Hazarajat;;;;;;;;;;;;;
HAZ_ADJ;Hazara;;;;;;;;;;;;;
HAZ_conservative;Conservatives;;;;;;;;;;;;;
HAZ_liberal;Liberals;;;;;;;;;;;;;
HAZ_reactionary;Reactionaries;;;;;;;;;;;;;
HAZ_socialist;Socialists;;;;;;;;;;;;;
HAZ_anarcho_liberal;Anarcho-liberals;;;;;;;;;;;;;
HAZ_communist;Communists;;;;;;;;;;;;;
HAZ_fascist;Fascists;;;;;;;;;;;;;
YNN_reactionary_3;Beiyang Faction;;;;;;;;;;;;;
YNN_conservative_3;Cai E's Faction;;;;;;;;;;;;;
