Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
start_strategic_bombardment_title;Begin Strategic Bombardment;;;;;;;;;;;;;
start_strategic_bombardment_desc;Perhaps bombing the enemy's cities will help win the war?;;;;;;;;;;;;;
end_strategic_bombardment_title;End Strategic Bombardment;;;;;;;;;;;;;
end_strategic_bombardment_desc;Strategic bombing is either unnecessary or impossible.;;;;;;;;;;;;;
prevent_warlord_era_title;Dismiss Military Governors;;;;;;;;;;;;;
prevent_warlord_era_desc;The devolution of power during the late 19th century has created cliques of powerful military governors with their own private armies. By giving meaningless posts to some and dismissing or arresting others, we can prevent potential revolts and better centralize our nation. It will take a few years before the administration can find replacements for everyone dismissed, but this threat to $COUNTRY_ADJ$ unity should be suppressed before it is too late..;;;;;;;;;;;;;
peking_convention_RTR_title;The Peking Convention;;;;;;;;;;;;;
peking_convention_RTR_desc;Since the Treaty of Nerchinsk (1689), the Russian Empire has recognized the Argun river and the Stanovoy mountains as the natural frontiers between Russia and China.  In the mid 19th century the Russians would expand beyond this border to seize the vast lands between the Stanovoy Mountains and the Amur River. The Western Allies would later bring the Second Opium War to a conclusion by burning the Chinese Emperor's summer palaces, and entering Beijing. A cunning major general named Nikolay Ignatiev was able to convinced the Chinese that only Russian support would cause the allies to evacuate Peking. The price for this support was the Convention of Peking, which confirmed Muravyov's gains and, additionally, ceded territory between the Ussuri River and the Pacific to Russia. Thus, Russia had gained some 350,000 square miles of territory without firing a single shot.;;;;;;;;;;;;;
xiu_capital_title;A Fragrant Capital;;;;;;;;;;;;;
xiu_capital_desc;Xunzhou, near Pingle, is a city in a safe location that we should use as our captial until we can reunify China. It is a fragrant place - so we should name it Xiujing, literally meaning "fragrant capital".;;;;;;;;;;;;;
abolish_xiu_capital_title;Pingle Recaptured;;;;;;;;;;;;;
abolish_xiu_capital_desc;We have captured Xunzhou, near Pingle, which the Red Turbans rebels used as their capital and renamed to Xiujing. With the end of their rebellion, the area should be returned to its original name.;;;;;;;;;;;;;
empire_of_china_title;Become the Empire of China;;;;;;;;;;;;;
empire_of_china_desc;The volatile political environment in China necessitates the stability that only a monarchy could provide. The Chinese people are long accustomed to imperial rule; therefore, proclaiming the Empire of China will surely increase both local and foreign support for Beiyang rule.;;;;;;;;;;;;;
enact_opium_ban_title;Narcotics Control Act;;;;;;;;;;;;;
enact_opium_ban_desc;Although opium has been used as an analgesic since antiquity, the addictive effects of the drug has been a blight to society. Therefore, this vile substance should be banned, at least according to the law's proponents. Passing the law will make opium production illegal, but it will take some time before all of the opium growers and distributors, especially in newly acquired areas.;;;;;;;;;;;;;
end_opium_ban_title;End the Drug Ban;;;;;;;;;;;;;
end_opium_ban_desc;Despite the ban, smugglers and black market dealers are still able to sell narcotics. Legalizing the narcotics would not only end the monopoly criminals have on the drug trade, it would also allow the government to better cash in on this lucrative business.;;;;;;;;;;;;;
trade_zone_1_0_title;East Shandong Trade;;;;;;;;;;;;;
trade_zone_1_0_desc;The treaty port in East Shandong provides an opportunity for $COUNTRY_ADJ$ merchants to enter the large Chinese market. Seeing how weak and ineffective the Chinese government is, it should be easy demanding favored trade access to the interior of China.;;;;;;;;;;;;;
trade_zone_1_1_title;Extend East Shandong Trade;;;;;;;;;;;;;
trade_zone_1_1_desc;The Chinese government has proven to be weak and ineffective. Our trade rights in China can be extended just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_1_2_title;Further Extend East Shandong Trade;;;;;;;;;;;;;
