Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME29905;Intensive Agriculture;;;;;;;;;;;;;
EVTDESC29905;Extensive use of artifical fertilizers and pesticides and antibiotics allow crops and livestock to grow faster than ever before.;;;;;;;;;;;;;
EVTOPTA29905;Excellent;;;;;;;;;;;;;
EVTNAME29906;Modern Transportation;;;;;;;;;;;;;
EVTDESC29906;Local controlled-access highways and airports allow transportation at an unprecedented pace.;;;;;;;;;;;;;
EVTOPTA29906;Excellent;;;;;;;;;;;;;
EVTNAME165000;The Huang He bursts its banks yet again!;;;;;;;;;;;;;
EVTDESC165000;The enormous Yellow River has caused yet another flood!;;;;;;;;;;;;;
EVTOPTA165000;It just keeps happening!;;;;;;;;;;;;;
EVTNAME165001;The Yangtze River bursts its banks!;;;;;;;;;;;;;
EVTDESC165001;The enormous Yangtze River has flooded!;;;;;;;;;;;;;
EVTOPTA165001;At least it's not the Huang He again...;;;;;;;;;;;;;
EVTNAME165002;The Yangtze River bursts its banks again!;;;;;;;;;;;;;
EVTDESC165002;The enormous Yangtze River has flooded once again!;;;;;;;;;;;;;
EVTOPTA165002;Will these floods ever end?;;;;;;;;;;;;;
EVTNAME165003;Haiyuan Great Earthquake;;;;;;;;;;;;;
EVTDESC165003;The Haiyuan Earthquake was assigned the maximum intensity on the Mercalli intensity scale (XII Extreme). Aftershocks continued for 3 years.;;;;;;;;;;;;;
EVTOPTA165003;Eep!;;;;;;;;;;;;;
EVTNAME165004;Nanking Massacre;;;;;;;;;;;;;
EVTDESC165004;Our troops, frustrated from Chinese resistance to our advance, have decided to sack and pillage the Chinese capital, Nanjing.;;;;;;;;;;;;;
EVTOPTA165004;The international community would not like this...;;;;;;;;;;;;;
EVTNAME165005;The Nanking Massacre;;;;;;;;;;;;;
EVTDESC165005;$FROMCOUNTRY_ADJ$ troops, frustrated from our resistance to their advance, have decided to sack and pillage our capital, Nanjing.;;;;;;;;;;;;;
EVTOPTA165005;How DARE they!;;;;;;;;;;;;;
EVTNAME165100;White Lotus Society;;;;;;;;;;;;;
EVTDESC165100;Secret societies have long been centers of resistance against non-Han rule. Such societies are once again plotting rebellion, having led revolts in 1774, 1786, 1794, and most recently a suprise assult on the Forbidden City in 1813.;;;;;;;;;;;;;
EVT165100OPTA;Rebellion will not be tolerated.;;;;;;;;;;;;;
EVTNAME165101;The Tiandihui;;;;;;;;;;;;;
EVTDESC165101;The Heaven and Earth Society was founded as a mutual aid society in 1761 but was forced into anti-Qing activity after the Qing decreed membership in secret societies illegal.;;;;;;;;;;;;;
EVTOPTA165101;Secret societies are forbidden by law!;;;;;;;;;;;;;
EVTNAME165102;The Gelaohui;;;;;;;;;;;;;
EVTDESC165102;The Elder Brother Society, also known as the Hatchet Gang for the small hatchet every member carries, is a fraternal society that despises foreigners - both Manchu and Western.;;;;;;;;;;;;;
EVTOPTA165102;What can a hatchet do against the Qing army?;;;;;;;;;;;;;
EVTNAME165103;Secret Societies Spread to $STATENAME$!;;;;;;;;;;;;;
EVTDESC165103;Anti-Qing secret societies have recruited many members in $STATENAME$.;;;;;;;;;;;;;
EVTOPTA165103;Hmm, that's worrying.;;;;;;;;;;;;;
EVTNAME165200;The Red Turban Rebellion;;;;;;;;;;;;;
EVTDESC165200;Tiandihui and Gelaohui members, inspired by the Red Turban Rebellion that overthrew the Yuan Dynasty, are sporting red turbans and rebelling against Qing rule.;;;;;;;;;;;;;
EVTOPTA165200;Crush them!;;;;;;;;;;;;;
EVTOPTB165200;Out with the Qing!;;;;;;;;;;;;;
EVTNAME165201;Red Turban Rebellion Defeated;;;;;;;;;;;;;
EVTDESC165201;The Red Turban rebels have been shattered and the remaining secret societies have returned to hiding.;;;;;;;;;;;;;
EVTOPTA165201;Long Live the Qing!;;;;;;;;;;;;;
EVTNAME165206;The Red Turbans are Victorious!;;;;;;;;;;;;;
EVTDESC165206;The Red Turbans can now count two successful rebellions against barbarian rule - both the Mongol Yuan and the Manchu Qing have been toppled. China is once again ruled by the Han.;;;;;;;;;;;;;
EVTOPTA165206;Hooray!;;;;;;;;;;;;;
EVTNAME165207;Red Turban Power Struggle;;;;;;;;;;;;;
EVTDESC165207;The disparate organizations that compose the Red Turbans, although united in opposition against the Qing, diverge in their vision of China's future. Victory and peace has exposed these cracks and a final decision on the distribution of power in the Red Turbans must be made.;;;;;;;;;;;;;
EVTOPTA165207;The Tiandihui will crown Chen Kai as Emperor!;;;;;;;;;;;;;
EVTOPTB165207;The Gelaohui will expel the barbarians!;;;;;;;;;;;;;
EVTOPTC165207;They will share power and they will like it!;;;;;;;;;;;;;
EVTNAME165209;The Sanhehui;;;;;;;;;;;;;
EVTDESC165209;After the end of the Red Turban Rebellion, former revolutionaries having trouble adjusting to peacetime and local militas and bandits not incorporated into the $COUNTRY_ADJ$ army have turned to drugs and extortion for income. Organizing themselves into underground cells, many have joined the Sanhehui (Triple Union Society), better known as the Triads, referring to the union of heaven, earth and humanity. They have - using a combination of threats and bribes - co-opted many officials and are in a good position to sieze power.;;;;;;;;;;;;;
EVTOPTA165209;The Triads will take control.;;;;;;;;;;;;;
EVTOPTB165209;Stop these criminal organizations at any cost!;;;;;;;;;;;;;
EVTNAME166220;The Nian Rebellion;;;;;;;;;;;;;
EVTDESC166220;What began as groups of poor roaming peasants displaced by the 1851 Yellow River flood grew into larger and larger bandit gangs after years of Qing mismanagement. Finally, under Zhang Lexing, the bands were organized into a loose alliance of five banners of rebel troops.;;;;;;;;;;;;;
EVT166220OPTA;More rebel scum!;;;;;;;;;;;;;
EVTNAME166222;The Nian Rebellion;;;;;;;;;;;;;
