Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
local_intensive_agriculture;Local Intensive Agriculture;;;;;;;;;;;;;
local_modern_transportation;Local Modern Transportation;;;;;;;;;;;;;
local_pollution_problem;Local Pollution Problem;;;;;;;;;;;;;
clean_air_act;Clean Air Act;;;;;;;;;;;;;
clean_air_act_desc;Our country has laws regulating factory pollution.;;;;;;;;;;;;;
strat_bombers;Strategic Bombers;;;;;;;;;;;;;
strat_bombers_desc;Our country is maintaining a strategic bomber force.;;;;;;;;;;;;;
bomb_damage;Strategic Bomb Damage;;;;;;;;;;;;;
heavy_bomb_damage;Heavy Strategic Bomb Damage;;;;;;;;;;;;;
small_refund; tax refund;;;;;;;;;;;;;
literate_nation;Literate Nation;;;;;;;;;;;;;
clerked_nation;Clerked Nation 1;;;;;;;;;;;;;
communist_peace_summit;Communist Summit;;;;;;;;;;;;;
communist_peace_summit_desc;We have recently held a Communist International.;;;;;;;;;;;;;
productive_mine_1;Rich Deposits;;;;;;;;;;;;;
productive_mine_2;Very Rich Deposits;;;;;;;;;;;;;
local_drug_habit;Local Narcotic Habit;;;;;;;;;;;;;
opium_ban;Narcotics Control Act;;;;;;;;;;;;;
opium_ban_desc;The manufacture and sale of narcotics and opioids are heavily regulated in this country.;;;;;;;;;;;;;
local_opium_ban;Narcotic Ban;;;;;;;;;;;;;
hormuz_strait;Hormuz Strait;;;;;;;;;;;;;
strait_of_malacca;Strait of Malacca;;;;;;;;;;;;;
bab-el-mandeb_strait;Bab al-Mandab Strait;;;;;;;;;;;;;
literate_nation;80% Literacy;;;;;;;;;;;;;
literate_nation_2;90% Literacy;;;;;;;;;;;;;
literate_nation_3;95% Literacy;;;;;;;;;;;;;
literate_nation_4;99% Literacy;;;;;;;;;;;;;
yong_ying;Regional Armies;;;;;;;;;;;;;
yong_ying_desc;The ineffectiveness of the Eight Banners and the Green Standard Army in preventing rebellion is evident. Qing military power now lies in regional militias personally loyal to their officers - not to the Qing court.;;;;;;;;;;;;;
province_nuked;Nuclear Bomb Damage;;;;;;;;;;;;;
hot_particles;Radioactive Fallout;;;;;;;;;;;;;
nuke_target;Target for Nuclear Strike;;;;;;;;;;;;;
nuclear_system_down;Nuclear System Disabled;;;;;;;;;;;;;
nuclear_system_down_desc;Our military engineers are busy repairing the damage to the nuclear system to enable us to retaliate against any nuclear attacks.;;;;;;;;;;;;;
wmd_removed;Disarmed of Weapons of Mass Destruction;;;;;;;;;;;;;
wmd_removed_desc;In a humiliating move, our weapons of mass destruction were disarmed.;;;;;;;;;;;;;
non_proliferation_treaty;Treaty on the Non-Proliferation of Nuclear Weapons;;;;;;;;;;;;;
non_proliferation_treaty_desc;This country has pledged not to receive, from any source, nuclear weapons, or other nuclear explosive devices; not to manufacture or acquire such weapons or devices; and not to receive any assistance in their manufacture.;;;;;;;;;;;;;
nukes_used_recently;Recently used Nuclear Weapons;;;;;;;;;;;;;
nukes_used_recently_desc;We need more time before we can launch another nuclear attack.;;;;;;;;;;;;;
recently_attacked_nuke;Second Strike Opportunity;;;;;;;;;;;;;
recently_attacked_nuke_desc;We can justifiably retaliate against enemy nuclear strikes;;;;;;;;;;;;;
recently_attacked_limited_nuke;Escalation Opportunity;;;;;;;;;;;;;
recently_attacked_limited_nuke_desc;We have recently been attacked by several nuclear weapons.;;;;;;;;;;;;;
recently_consulted_nuclear_plans;Recently Consulted Nuclear Plans;;;;;;;;;;;;;
recently_consulted_nuclear_plans_desc;It will take time for our military planners to prepare another list of nuclear targets.;;;;;;;;;;;;;
nuke_tier_0;Nuclear Weapons Research;;;;;;;;;;;;;
nuke_tier_0_desc;We are currently researching nuclear weapons.;;;;;;;;;;;;;
nuke_tier_1;Atomic Bombs;;;;;;;;;;;;;
nuke_tier_1_desc;We have a limited supply of atomic bombs.;;;;;;;;;;;;;
nuke_tier_2;Mass Produced Bombs;;;;;;;;;;;;;
nuke_tier_2_desc;We have a large stockpile of atomic bombs.;;;;;;;;;;;;;
